# Constructed from biom file
#OTU ID	781P	787P	RU03	N488	7780	580P	420P	791P	7690	777P	7810	260	769P	7870	R456	R478	427P	3830	7910	P458	P485	7850	7830	N478	783P	488P	R500	N476	26P	574P	R460	597P	N491	N451	7820	N004	N483	778P	P459	576P	N452	R493	423P	383P	P482	P009	587P	N490	P079	P486	R262	782P	785P	RU01	RU02	P480	P457	N481	R360	P075	BR	B5	NTC1	taxonomy
OTU_890	187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Pluteaceae; g__Pluteus; s__Pluteus multiformis
OTU_82	330.0	834.0	0.0	0.0	352.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	1514.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma
OTU_242	0.0	0.0	989.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi
OTU_227	0.0	0.0	0.0	1067.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus; s__Aspergillus carbonarius
OTU_142	0.0	0.0	0.0	0.0	1785.0	0.0	0.0	115.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium
OTU_53	340.0	18.0	0.0	0.0	40.0	190.0	13.0	76.0	702.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	2.0	0.0	14.0	69.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	111.0	0.0	0.0	39.0	0.0	18.0	0.0	0.0	343.0	0.0	0.0	0.0	2040.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Lecanicillium; s__Lecanicillium kalimantanense
OTU_54	0.0	0.0	0.0	0.0	0.0	0.0	9185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Leucoagaricus; s__Leucoagaricus rubrotinctus
OTU_32	119.0	829.0	0.0	0.0	6.0	40.0	387.0	2220.0	221.0	15.0	328.0	0.0	0.0	231.0	0.0	0.0	188.0	10.0	479.0	0.0	0.0	0.0	3627.0	0.0	23.0	9.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	0.0	125.0	83.0	13.0	0.0	0.0	95.0	217.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	80.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Pochonia; s__Pochonia chlamydosporia
OTU_18	0.0	0.0	0.0	0.0	90.0	20.0	0.0	0.0	7879.0	19.0	1.0	17.0	0.0	607.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	658.0	0.0	671.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Zygomycota; c__Incertae sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella capitata
OTU_4	1254.0	337.0	0.0	235.0	1448.0	0.0	0.0	0.0	20.0	0.0	385.0	1438.0	0.0	154.0	0.0	314.0	399.0	0.0	130.0	0.0	365.0	880.0	364.0	6.0	896.0	220.0	0.0	231.0	324.0	5.0	0.0	0.0	0.0	1505.0	0.0	0.0	0.0	234.0	0.0	478.0	0.0	0.0	198.0	174.0	0.0	0.0	16.0	1.0	0.0	0.0	0.0	309.0	155.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Acrocalymma; s__Acrocalymma aquatica
